Severity,County,State,count
1,Acadia,LA,1
1,Adams,CO,70
1,Adams,PA,1
1,Aiken,SC,23
1,Alamance,NC,14
1,Alameda,CA,1042
1,Albany,NY,59
1,Alexandria,VA,2
1,Allegany,MD,1
1,Allegheny,PA,11
1,Allen,IN,6
1,Amador,CA,2
1,Anderson,SC,8
1,Anne Arundel,MD,16
1,Arapahoe,CO,110
1,Arlington,VA,7
1,Ascension,LA,6
1,Ashtabula,OH,2
1,Atlantic,NJ,15
1,Augusta,VA,2
1,Avery,NC,1
1,Baker,FL,18
1,Baldwin,AL,1
1,Baltimore,MD,3
1,Baltimore City,MD,15
1,Baltimore County,MD,13
1,Banks,GA,1
1,Barnstable,MA,9
1,Bay,FL,2
1,Beaufort,NC,3
1,Beaufort,SC,1
1,Beauregard,LA,1
1,Bedford County,VA,2
1,Belknap,NH,1
1,Bergen,NJ,5
1,Berkeley,SC,18
1,Berkeley,WV,1
1,Berks,PA,5
1,Bernalillo,NM,48
1,Bexar,TX,9
1,Bibb,GA,3
1,Bladen,NC,5
1,Blount,AL,5
1,Boone,IL,1
1,Boone,IN,1
1,Botetourt,VA,8
1,Boulder,CO,4
1,Brazoria,TX,2
1,Brevard,FL,250
1,Bristol,MA,32
1,Bronx,NY,6
1,Broome,NY,1
1,Broomfield,CO,7
1,Broward,FL,169
1,Brown,OH,1
1,Brunswick,NC,10
1,Bryan,GA,2
1,Bucks,PA,3
1,Bulloch,GA,1
1,Buncombe,NC,107
1,Burke,NC,9
1,Burlington,NJ,10
1,Butte,CA,1
1,Cabarrus,NC,20
1,Cache,UT,1
1,Caddo,LA,3
1,Calaveras,CA,9
1,Calcasieu,LA,2
1,Caldwell,NC,2
1,Calhoun,MI,1
1,Camden,NJ,9
1,Campbell,VA,2
1,Canadian,OK,2
1,Cape May,NJ,2
1,Caroline,VA,2
1,Carroll,MD,3
1,Carteret,NC,1
1,Carver,MN,2
1,Caswell,NC,1
1,Catawba,NC,6
1,Cayuga,NY,1
1,Cecil,MD,5
1,Charles,MD,3
1,Charleston,SC,9
1,Charlotte,FL,1
1,Chatham,GA,8
1,Chatham,NC,2
1,Chautauqua,NY,9
1,Cheatham,TN,5
1,Cherokee,GA,2
1,Cherokee,SC,2
1,Chesapeake,VA,2
1,Chester,PA,20
1,Chester,SC,1
1,Chesterfield,VA,243
1,Chilton,AL,3
1,Citrus,FL,2
1,Clackamas,OR,111
1,Clark,IN,1
1,Clark,NV,1
1,Clark,WA,35
1,Clatsop,OR,7
1,Clay,FL,6
1,Clay,MO,1
1,Clayton,GA,9
1,Clear Creek,CO,2
1,Cleveland,NC,3
1,Cleveland,OK,2
1,Cobb,GA,36
1,Coconino,AZ,2
1,Colleton,SC,2
1,Collier,FL,1
1,Collin,TX,1
1,Columbia,FL,8
1,Columbia,GA,5
1,Columbia,NY,12
1,Columbia,OR,13
1,Columbia,PA,1
1,Columbiana,OH,1
1,Columbus,NC,5
1,Comal,TX,1
1,Contra Costa,CA,547
1,Cook,IL,160
1,Coosa,AL,1
1,Coweta,GA,6
1,Cowlitz,WA,5
1,Craven,NC,6
1,Crittenden,AR,4
1,Cullman,AL,1
1,Cumberland,NC,20
1,Cumberland,PA,4
1,Currituck,NC,1
1,Cuyahoga,OH,272
1,Dakota,MN,5
1,Dallas,IA,1
1,Dallas,TX,27
1,Dane,WI,3
1,Darlington,SC,1
1,Dauphin,PA,12
1,Davidson,NC,21
1,Davidson,TN,1039
1,Davie,NC,7
1,Davis,UT,38
1,DeKalb,GA,58
1,DeKalb,MO,1
1,DeSoto,MS,4
1,Dearborn,IN,1
1,Delaware,OH,2
1,Delaware,PA,10
1,Denton,TX,3
1,Denver,CO,147
1,Dickson,TN,4
1,Dillon,SC,2
1,Dinwiddie,VA,5
1,District Of Columbia,DC,3
1,District of Columbia,DC,41
1,Dorchester,MD,2
1,Dorchester,SC,5
1,Douglas,CO,26
1,Douglas,GA,9
1,Douglas,NE,25
1,DuPage,IL,27
1,Dupage,IL,8
1,Duplin,NC,3
1,Durham,NC,66
1,Dutchess,NY,53
1,Duval,FL,259
1,East Baton Rouge,LA,494
1,Eaton,MI,1
1,Edgecombe,NC,2
1,El Dorado,CA,54
1,El Paso,CO,75
1,El Paso,TX,939
1,Emery,UT,1
1,Erie,NY,54
1,Escambia,FL,14
1,Essex,MA,23
1,Essex,NJ,1
1,Fairfax,VA,6
1,Fairfax City,VA,6
1,Fairfax County,VA,66
1,Fairfield,CT,8
1,Fairfield,OH,1
1,Fauquier,VA,3
1,Fayette,KY,5
1,Fayette,TN,10
1,Ferry,WA,1
1,Flagler,FL,1
1,Floyd,IN,1
1,Forsyth,GA,2
1,Forsyth,NC,37
1,Franklin,MO,2
1,Franklin,NC,2
1,Franklin,OH,18
1,Franklin,PA,6
1,Franklin County,VA,1
1,Frederick,MD,13
1,Frederick,VA,6
1,Fredericksburg,VA,2
1,Fresno,CA,265
1,Fulton,GA,110
1,Gaston,NC,26
1,Geauga,OH,25
1,Genesee,MI,5
1,Genesee,NY,8
1,Georgetown,SC,1
1,Gila,AZ,9
1,Gloucester,NJ,5
1,Goochland,VA,25
1,Grand,UT,1
1,Granville,NC,4
1,Grays Harbor,WA,2
1,Grayson,KY,1
1,Greene,GA,1
1,Greene,MO,1
1,Greene,NY,6
1,Greenup,KY,1
1,Greenville,SC,6
1,Grundy,IL,4
1,Guernsey,OH,1
1,Guilford,NC,76
1,Gwinnett,GA,33
1,Halifax,NC,6
1,Hall,GA,1
1,Hamilton,IN,4
1,Hamilton,OH,33
1,Hamilton,TN,54
1,Hampden,MA,4
1,Hampshire,MA,2
1,Hampton,SC,1
1,Hampton,VA,3
1,Hancock,IN,1
1,Hancock,WV,1
1,Hanover,VA,44
1,Hardin,TX,1
1,Harford,MD,3
1,Harnett,NC,14
1,Harris,TX,54
1,Hartford,CT,7
1,Haywood,NC,40
1,Haywood,TN,3
1,Henderson,NC,35
1,Hennepin,MN,16
1,Henrico,VA,473
1,Henry,GA,5
1,Henry,VA,1
1,Hernando,FL,9
1,Hertford,NC,2
1,Hickman,TN,2
1,Hillsborough,FL,393
1,Hoke,NC,2
1,Horry,SC,8
1,Howard,MD,3
1,Hudson,NJ,2
1,Humboldt,CA,1
1,Indian River,FL,8
1,Ingham,MI,1
1,Iredell,NC,26
1,Isle of Wight,VA,1
1,Jackson,GA,1
1,Jackson,IN,1
1,Jackson,MI,1
1,Jackson,MO,4
1,Jackson,NC,1
1,Jasper,IN,1
1,Jasper,SC,5
1,Jefferson,AL,63
1,Jefferson,CO,54
1,Jefferson,KY,28
1,Jefferson,LA,41
1,Jefferson,MO,3
1,Jefferson,WA,1
1,Johnson,IA,1
1,Johnson,IN,1
1,Johnson,KS,2
1,Johnston,NC,36
1,Kane,IL,10
1,Kaufman,TX,3
1,Kendall,IL,1
1,Kenosha,WI,1
1,Kent,DE,3
1,Kent,MD,1
1,Kent,MI,17
1,Kent,RI,11
1,Kenton,KY,6
1,Kern,CA,1
1,King,WA,316
1,Kings,CA,22
1,Kings,NY,2
1,Kitsap,WA,3
1,Kittitas,WA,1
1,Knox,TN,2
1,Kosciusko,IN,1
1,Lackawanna,PA,1
1,Lafayette,LA,11
1,Lake,FL,8
1,Lake,IL,19
1,Lake,IN,9
1,Lake,OH,12
1,Lancaster,PA,55
1,Lane,OR,1
1,Larimer,CO,10
1,Las Animas,CO,2
1,Laurens,SC,1
1,Lebanon,PA,1
1,Lee,FL,6
1,Lee,NC,2
1,Lenoir,NC,5
1,Leon,FL,130
1,Leon,TX,1
1,Lewis,WA,2
1,Lexington,SC,7
1,Liberty,GA,1
1,Limestone,AL,1
1,Livingston,LA,2
1,Logan,OH,1
1,Lorain,OH,34
1,Los Angeles,CA,51
1,Loudoun,VA,8
1,Luzerne,PA,1
1,Lyon,NV,1
1,Macomb,MI,3
1,Macon,IL,1
1,Macon,NC,4
1,Macon-Bibb County,GA,16
1,Madera,CA,45
1,Madison,AL,6
1,Madison,IL,3
1,Madison,NC,3
1,Madison,OH,1
1,Mahoning,OH,9
1,Manassas,VA,2
1,Manatee,FL,31
1,Maricopa,AZ,3715
1,Marin,CA,208
1,Marion,FL,2
1,Marion,IN,31
1,Marion,OR,59
1,Martin,FL,5
1,Mason,WA,2
1,McDowell,NC,13
1,McHenry,IL,1
1,McLennan,TX,1
1,Mclennan,TX,1
1,Mecklenburg,NC,537
1,Medina,OH,15
1,Mendocino,CA,1
1,Merced,CA,60
1,Mercer,NJ,7
1,Miami,IN,1
1,Miami-Dade,FL,84
1,Middlesex,MA,39
1,Middlesex,NJ,9
1,Milwaukee,WI,23
1,Mobile,AL,25
1,Monmouth,NJ,11
1,Monroe,FL,1
1,Monroe,NY,5
1,Monterey,CA,109
1,Montgomery,AL,1
1,Montgomery,MD,109
1,Montgomery,NC,3
1,Montgomery,NY,15
1,Montgomery,OH,25
1,Montgomery,PA,32
1,Montgomery,TN,1
1,Montgomery,TX,1
1,Montgomery,VA,7
1,Moore,NC,2
1,Morgan,AL,1
1,Morgan,UT,3
1,Morris,NJ,1
1,Multnomah,OR,858
1,Muscogee,GA,4
1,Napa,CA,123
1,Nash,NC,14
1,Nassau,FL,10
1,Nassau,NY,44
1,Natchitoches,LA,1
1,Navajo,AZ,1
1,Nelson,VA,1
1,Nevada,CA,27
1,New Castle,DE,8
1,New Hanover,NC,7
1,New Haven,CT,5
1,New Kent,VA,13
1,New York,NY,5
1,Newberry,SC,1
1,Newport News,VA,3
1,Newton,GA,1
1,Niagara,NY,2
1,Norfolk,MA,21
1,Norfolk,VA,6
1,Northampton,PA,5
1,Nueces,TX,1
1,Oakland,MI,8
1,Ocean,NJ,10
1,Oconee,SC,4
1,Oglethorpe,GA,1
1,Okaloosa,FL,1
1,Oklahoma,OK,21
1,Onondaga,NY,18
1,Onslow,NC,4
1,Ontario,NY,5
1,Orange,CA,11
1,Orange,FL,557
1,Orange,NC,14
1,Orange,NY,22
1,Orangeburg,SC,1
1,Orleans,LA,680
1,Osceola,FL,93
1,Palm Beach,FL,311
1,Parker,TX,1
1,Pasco,FL,79
1,Passaic,NJ,2
1,Paulding,GA,1
1,Pender,NC,5
1,Petersburg,VA,2
1,Philadelphia,PA,21
1,Pickens,SC,1
1,Pierce,WA,63
1,Pima,AZ,2969
1,Pinal,AZ,25
1,Pinellas,FL,309
1,Pitt,NC,7
1,Placer,CA,66
1,Plymouth,MA,9
1,Polk,FL,47
1,Polk,IA,3
1,Polk,NC,10
1,Polk,OR,9
1,Portage,OH,10
1,Portsmouth,VA,1
1,Pottawattamie,IA,1
1,Prince George,VA,2
1,Prince George's,MD,104
1,Prince Georges,MD,4
1,Prince William,VA,22
1,Providence,RI,52
1,Pulaski,AR,7
1,Putnam,NY,13
1,Queens,NY,19
1,Ramsey,MN,16
1,Randolph,NC,8
1,Rankin,MS,1
1,Rensselaer,NY,23
1,Richland,OH,1
1,Richland,SC,9
1,Richmond,GA,87
1,Richmond,NC,1
1,Richmond City,VA,742
1,Riverside,CA,20
1,Roanoke City,VA,3
1,Robertson,TN,5
1,Robeson,NC,25
1,Rockbridge,VA,5
1,Rockdale,GA,3
1,Rockingham,NC,1
1,Rockingham,NH,3
1,Rockland,NY,23
1,Rockwall,TX,2
1,Rowan,NC,8
1,Rutherford,NC,1
1,Rutherford,TN,10
1,Sacramento,CA,757
1,Saint Johns,FL,2
1,Saint Louis,MO,2
1,Salem,VA,2
1,Salt Lake,UT,279
1,Saluda,SC,1
1,Sampson,NC,4
1,San Benito,CA,14
1,San Bernardino,CA,11
1,San Diego,CA,25
1,San Francisco,CA,190
1,San Joaquin,CA,240
1,San Luis Obispo,CA,3
1,San Mateo,CA,260
1,Santa Barbara,CA,4
1,Santa Clara,CA,732
1,Santa Cruz,CA,77
1,Santa Rosa,FL,15
1,Sarasota,FL,30
1,Saratoga,NY,46
1,Sarpy,NE,13
1,Schenectady,NY,11
1,Scotland,NC,1
1,Sedgwick,KS,3
1,Seminole,FL,90
1,Shelby,AL,13
1,Shelby,TN,303
1,Sherburne,MN,1
1,Sherman,OR,1
1,Skagit,WA,6
1,Skamania,WA,1
1,Smith,TN,1
1,Snohomish,WA,72
1,Solano,CA,229
1,Sonoma,CA,372
1,Spartanburg,SC,4
1,Spokane,WA,9
1,Spotsylvania,VA,4
1,St. Charles,MO,12
1,St. Clair,AL,1
1,St. Clair,IL,5
1,St. John the Baptist,LA,4
1,St. Johns,FL,19
1,St. Louis City,MO,9
1,St. Louis County,MO,36
1,St. Lucie,FL,8
1,St. Mary's,MD,4
1,St. Tammany,LA,8
1,Stafford,VA,1
1,Stanislaus,CA,77
1,Stanly,NC,2
1,Stark,OH,11
1,Stevens,WA,2
1,Suffolk,MA,20
1,Suffolk,NY,29
1,Suffolk,VA,2
1,Summit,OH,48
1,Summit,UT,2
1,Surry,NC,9
1,Suwannee,FL,1
1,Tangipahoa,LA,7
1,Tarrant,TX,12
1,Teller,CO,1
1,Thurston,WA,7
1,Tillamook,OR,1
1,Tipton,TN,2
1,Tolland,CT,2
1,Tooele,UT,9
1,Transylvania,NC,2
1,Travis,TX,18
1,Trumbull,OH,6
1,Tulare,CA,54
1,Tulsa,OK,49
1,Tuolumne,CA,2
1,Tuscaloosa,AL,7
1,Tyrrell,NC,2
1,Ulster,NY,10
1,Union,NC,4
1,Union,NJ,4
1,Utah,UT,32
1,Van Buren,MI,1
1,Vance,NC,4
1,Ventura,CA,4
1,Virginia Beach,VA,7
1,Volusia,FL,39
1,Wake,NC,474
1,Walker,AL,4
1,Walton,FL,1
1,Walton,GA,1
1,Warren,NC,4
1,Warren,NJ,1
1,Warren,NY,9
1,Wasatch,UT,5
1,Washington,FL,1
1,Washington,MD,5
1,Washington,MN,2
1,Washington,NY,14
1,Washington,OR,194
1,Washington,RI,8
1,Washington,TN,1
1,Washington,WI,2
1,Washoe,NV,2
1,Washtenaw,MI,2
1,Watauga,NC,2
1,Waukesha,WI,4
1,Wayne,MI,21
1,Wayne,NC,8
1,Wayne,OH,2
1,Waynesboro,VA,1
1,Weber,UT,24
1,Weld,CO,11
1,West Baton Rouge,LA,1
1,West Feliciana,LA,3
1,Westchester,NY,210
1,Westmoreland,VA,1
1,Whatcom,WA,5
1,Whitman,WA,1
1,Wilkes,NC,2
1,Will,IL,26
1,Williamson,TN,12
1,Williamson,TX,1
1,Wilson,NC,9
1,Wilson,TN,8
1,Windham,VT,1
1,Winnebago,IL,1
1,Worcester,MA,25
1,Worcester,MD,1
1,Yadkin,NC,2
1,Yamhill,OR,15
1,Yavapai,AZ,2
1,Yolo,CA,97
1,York,ME,1
1,York,PA,31
1,York,SC,3
1,York,VA,1
2,Abbeville,SC,610
2,Acadia,LA,61
2,Accomack,VA,69
2,Ada,ID,1341
2,Adair,IA,97
2,Adair,KY,2
2,Adair,MO,2
2,Adams,CO,3494
2,Adams,IA,2
2,Adams,ID,15
2,Adams,IL,9
2,Adams,MS,15
2,Adams,ND,2
2,Adams,NE,4
2,Adams,OH,10
2,Adams,PA,892
2,Adams,WA,21
2,Adams,WI,2
2,Addison,VT,20
2,Aiken,SC,4539
2,Aitkin,MN,255
2,Alachua,FL,1260
2,Alamance,NC,230
2,Alameda,CA,33244
2,Alamosa,CO,1
2,Albany,NY,3570
2,Albany,WY,7
2,Albemarle,VA,935
2,Alcorn,MS,4
2,Alexander,NC,30
2,Alexandria,VA,742
2,Alexandria City,VA,23
2,Alger,MI,1
2,Allamakee,IA,5
2,Allegan,MI,275
2,Allegany,MD,114
2,Allegany,NY,12
2,Alleghany,NC,1
2,Alleghany,VA,103
2,Allegheny,PA,5747
2,Allen,IN,278
2,Allen,KS,2
2,Allen,KY,2
2,Allen,LA,3
2,Allen,OH,43
2,Allendale,SC,131
2,Alpena,MI,3
2,Alpine,CA,137
2,Amador,CA,1304
2,Amelia,VA,136
2,Amherst,VA,111
2,Amite,MS,5
2,Anderson,KY,4
2,Anderson,SC,11640
2,Anderson,TN,46
2,Anderson,TX,9
2,Andrew,MO,4
2,Andrews,TX,1
2,Androscoggin,ME,91
2,Angelina,TX,73
2,Anne Arundel,MD,4158
2,Anoka,MN,2928
2,Anson,NC,21
2,Antrim,MI,13
2,Apache,AZ,187
2,Appanoose,IA,12
2,Appling,GA,9
2,Appomattox,VA,80
2,Arapahoe,CO,3520
2,Archer,TX,10
2,Arenac,MI,8
2,Arkansas,AR,13
2,Arlington,VA,1469
2,Armstrong,PA,45
2,Armstrong,TX,5
2,Aroostook,ME,32
2,Ascension,LA,145
2,Ashe,NC,10
2,Ashland,OH,21
2,Ashland,WI,4
2,Ashley,AR,6
2,Ashtabula,OH,19
2,Asotin,WA,4
2,Assumption,LA,5
2,Atascosa,TX,9
2,Athens,OH,14
2,Atkinson,GA,7
2,Atlantic,NJ,1090
2,Atoka,OK,1
2,Attala,MS,2
2,Audubon,IA,3
2,Auglaize,OH,20
2,Augusta,VA,850
2,Aurora,SD,2
2,Austin,TX,9
2,Autauga,AL,496
2,Avery,NC,15
2,Avoyelles,LA,1
2,Baca,CO,11
2,Bacon,GA,9
2,Bailey,TX,2
2,Baker,FL,357
2,Baker,GA,6
2,Baker,OR,1530
2,Baldwin,AL,868
2,Baldwin,GA,56
2,Ballard,KY,2
2,Baltimore,MD,310
2,Baltimore City,MD,3769
2,Baltimore County,MD,5283
2,Bamberg,SC,264
